ORDER_ID,CUSTOMERS_ID,EMPLOYEES_ID,ORDER_DATE
10000,1103,52,1/2/2016
10001,1320,50,1/2/2016
10002,1112,51,1/2/2016
10003,1422,53,1/2/2016
10004,1666,52,1/3/2016
10005,1289,51,1/3/2016
10006,1035,50,1/3/2016
10007,1407,53,1/3/2016
10008,1896,53,1/4/2016
10009,1144,52,1/4/2016
10010,1668,50,1/5/2016
10011,1114,51,1/5/2016
10012,1660,50,1/5/2016
10013,1890,53,1/7/2016
10014,1713,51,1/7/2016
10015,1571,52,1/7/2016
10016,1056,53,1/7/2016
10017,1632,50,1/8/2016
10018,1358,52,1/8/2016
10019,1490,51,1/8/2016
10020,1128,51,1/8/2016
10021,1389,53,1/9/2016
10022,1728,50,1/9/2016
10023,1600,52,1/10/2016
10024,1947,51,1/10/2016
10025,1797,50,1/11/2016
10026,1581,52,1/11/2016
10027,1349,53,1/11/2016
10028,1071,50,1/11/2016
10029,1676,52,1/11/2016
10030,1798,53,1/11/2016
10031,1680,51,1/12/2016
10032,1872,52,1/12/2016
10033,1876,53,1/13/2016
10034,1155,51,1/14/2016
10035,1524,50,1/14/2016
10036,1869,50,1/14/2016
10037,1088,53,1/14/2016
10038,1862,51,1/15/2016
10039,1409,52,1/15/2016
10040,1229,53,1/15/2016
10041,1720,50,1/16/2016
10042,1566,52,1/16/2016
10043,1964,51,1/16/2016
10044,1377,51,1/17/2016
10045,1540,50,1/17/2016
10046,1655,53,1/19/2016
10047,1791,52,1/20/2016
10048,1721,52,1/20/2016
10049,1640,51,1/21/2016
10050,1393,53,1/21/2016
10051,1013,50,1/21/2016
10052,1823,53,1/22/2016
10053,1674,50,1/22/2016
10054,1583,52,1/22/2016
10055,1916,51,1/23/2016
10056,1938,52,1/24/2016
10057,1744,53,1/24/2016
10058,1854,50,1/25/2016
10059,1415,51,1/25/2016
10060,1139,51,1/25/2016
10061,1281,52,1/25/2016
10062,1467,53,1/25/2016
10063,1380,50,1/25/2016
10064,1968,50,1/26/2016
10065,2000,51,1/26/2016
10066,1949,53,1/27/2016
10067,1549,52,1/27/2016
10068,1753,53,1/28/2016
10069,1820,51,1/28/2016
10070,1204,52,1/28/2016
10071,1519,50,1/29/2016
10072,1343,51,1/29/2016
10073,1911,52,1/29/2016
10074,1190,53,1/30/2016
10075,1811,50,1/31/2016
10076,1439,51,2/1/2016
10077,1555,52,2/1/2016
10078,1220,53,2/2/2016
10079,1475,50,2/2/2016
10080,1589,52,2/2/2016
10081,1301,51,2/3/2016
10082,1523,53,2/3/2016
10083,1992,50,2/3/2016
10084,1759,52,2/4/2016
10085,1394,53,2/4/2016
10086,1234,51,2/5/2016
10087,1232,50,2/5/2016
10088,1673,51,2/5/2016
10089,1177,53,2/5/2016
10090,1322,50,2/5/2016
10091,1527,52,2/6/2016
10092,1372,51,2/6/2016
10093,1910,53,2/6/2016
10094,1693,50,2/6/2016
10095,1871,52,2/6/2016
10096,1491,52,2/6/2016
10097,1211,51,2/7/2016
10098,1132,50,2/7/2016
10099,1375,53,2/7/2016
10100,1738,50,2/7/2016
10101,1574,52,2/7/2016
10102,1345,53,2/7/2016
10103,1019,51,2/8/2016
10104,1141,51,2/9/2016
10105,1029,53,2/9/2016
10106,1041,50,2/9/2016
10107,1240,52,2/10/2016
10108,1089,50,2/10/2016
10109,1417,53,2/10/2016
10110,1813,51,2/10/2016
10111,1087,52,2/10/2016
10112,1181,50,2/11/2016
10113,1533,51,2/11/2016
10114,1183,52,2/11/2016
10115,1316,53,2/12/2016
10116,1364,53,2/12/2016
10117,1732,51,2/12/2016
10118,1926,52,2/12/2016
10119,1816,50,2/13/2016
10120,1577,52,2/13/2016
10121,1764,53,2/14/2016
10122,1434,50,2/15/2016
10123,1912,51,2/15/2016
10124,1742,51,2/15/2016
10125,1619,53,2/15/2016
10126,1129,50,2/15/2016
10127,1777,52,2/16/2016
10128,1355,52,2/16/2016
10129,1749,50,2/17/2016
10130,1420,53,2/17/2016
10131,1679,51,2/17/2016
10132,1775,51,2/17/2016
10133,1121,53,2/18/2016
10134,1165,50,2/18/2016
10135,1457,52,2/18/2016
10136,1050,53,2/18/2016
10137,1001,50,2/19/2016
10138,1500,52,2/19/2016
10139,1392,51,2/20/2016
10140,1944,52,2/20/2016
10141,1067,51,2/20/2016
10142,1120,53,2/20/2016
10143,1919,50,2/21/2016
10144,1302,52,2/22/2016
10145,1838,53,2/22/2016
10146,1652,50,2/22/2016
10147,1901,51,2/22/2016
10148,1341,53,2/22/2016
10149,1611,51,2/22/2016
10150,1903,52,2/22/2016
10151,1867,50,2/23/2016
10152,1170,51,2/23/2016
10153,1733,53,2/23/2016
10154,1164,52,2/24/2016
10155,1025,50,2/24/2016
10156,1266,52,2/25/2016
10157,1714,53,2/26/2016
10158,1936,50,2/26/2016
10159,1223,51,2/26/2016
10160,1238,53,2/26/2016
10161,1182,50,2/27/2016
10162,1450,52,2/27/2016
10163,1154,51,2/28/2016
10164,1435,53,2/29/2016
10165,1485,52,3/1/2016
10166,1357,51,3/1/2016
10167,1156,50,3/1/2016
10168,1706,50,3/2/2016
10169,1824,52,3/2/2016
10170,1970,51,3/3/2016
10171,1790,53,3/3/2016
10172,1172,51,3/4/2016
10173,1544,53,3/4/2016
10174,1771,50,3/4/2016
10175,1818,52,3/4/2016
10176,1939,53,3/5/2016
10177,1877,50,3/5/2016
10178,1005,51,3/5/2016
10179,1902,52,3/6/2016
10180,1882,51,3/7/2016
10181,1858,53,3/7/2016
10182,1277,52,3/7/2016
10183,1253,50,3/8/2016
10184,1779,51,3/8/2016
10185,1228,50,3/8/2016
10186,1605,53,3/10/2016
10187,1163,52,3/10/2016
10188,1592,50,3/10/2016
10189,1773,52,3/10/2016
10190,1550,53,3/11/2016
10191,1444,51,3/11/2016
10192,1004,53,3/11/2016
10193,1591,50,3/11/2016
10194,1267,51,3/12/2016
10195,1429,52,3/12/2016
10196,1847,51,3/12/2016
10197,1596,53,3/12/2016
10198,1539,52,3/12/2016
10199,1185,50,3/12/2016
10200,1433,53,3/13/2016
10201,1542,52,3/13/2016
10202,1801,51,3/13/2016
10203,1598,50,3/14/2016
10204,1161,53,3/14/2016
10205,1396,51,3/14/2016
10206,1315,50,3/14/2016
10207,1256,52,3/15/2016
10208,1717,50,3/15/2016
10209,1149,53,3/15/2016
10210,1448,52,3/16/2016
10211,1021,51,3/16/2016
10212,1386,52,3/16/2016
10213,1432,53,3/18/2016
10214,1874,50,3/19/2016
10215,1829,51,3/19/2016
10216,1022,52,3/19/2016
10217,1548,53,3/19/2016
10218,1587,51,3/20/2016
10219,1914,50,3/20/2016
10220,1967,50,3/21/2016
10221,1895,51,3/21/2016
10222,1397,52,3/21/2016
10223,1095,53,3/22/2016
10224,1647,50,3/22/2016
10225,1681,51,3/22/2016
10226,1559,52,3/23/2016
10227,1761,53,3/24/2016
10228,1534,50,3/24/2016
10229,1033,52,3/25/2016
10230,1017,53,3/25/2016
10231,1730,51,3/25/2016
10232,1620,51,3/25/2016
10233,1650,50,3/25/2016
10234,1443,52,3/26/2016
10235,1028,53,3/26/2016
10236,1840,51,3/26/2016
10237,1796,52,3/27/2016
10238,1419,53,3/27/2016
10239,1930,50,3/27/2016
10240,1789,50,3/27/2016
10241,1514,51,3/27/2016
10242,1995,53,3/28/2016
10243,1147,52,3/28/2016
10244,1473,50,3/28/2016
10245,1279,52,3/29/2016
10246,1868,51,3/29/2016
10247,1560,53,3/30/2016
10248,1180,52,3/30/2016
10249,1905,51,3/30/2016
10250,1496,50,3/31/2016
10251,1023,53,3/31/2016
10252,1167,53,4/1/2016
10253,1198,52,4/1/2016
10254,1864,51,4/1/2016
10255,1376,50,4/1/2016
10256,1981,50,4/2/2016
